sCode,noPeriode,sDescription
ZY-45,160,STATIONNEMENT  INT. 7 h - 8 h LUN ET MER 01 avril au 1 déc
ZY-48,226,STAT. INT. 8h ou 9 h - 10 h MER 01 avril au 01 déc
ZY-50,229,STAT. INT. 9 h 30 - 10 h 30 MAR et VEN 01 avril au 01 déc
ZY-51,228,STAT. INT. 9 h 30 - 10 h 30 LUN ET JEU 01 avril au 01 déc
ZY-52,160,STAT. INT. 7 h - 8 h MER 01 avril au 01 déc
ZY-53,231,STAT. INT. 9 h 30 - 10 h 30 MER 01 avril au 01 déc
ZY-54,1605,STAT. INT. 8 h - 9 h MER et VEN 01 avril au 01 déc
ZY-55,238,STAT. INT. 10 h - 11 h MER 01 avril au 01 déc
ZY-56,239,STAT. INT. 10 h - 11 h VEN 01 avril au 01 déc
ZY-58,242,STAT. INT.7 h 30 ou 8 h 30 - 9 h 30 LUN 01 avril au 01 déc
ZY-59,243,STAT. INT.7 h - 9 h 30 MER 01 avril au 01 déc
ZY-60,245,STAT. INT. 10 h - 11 h MAR et VEN 01 avril au 01 déc
ZY-62,247,STAT. INT.12 h 30 - 13 h 30 VEN 01 avril au 01 déc
ZY-64,262,STAT. INT. 10h30 - 11h30 MER 01avril au 01 déc
ZY-65,263,STAT. INT. 10h30 - 11h30 VEN 01avril au 01 déc
ZY-66,231,STAT. INT. 9h30 - 10h30 MER 01avril au 01 déc
ZY-67,264,STAT. INT. 9h30 - 10h30 VEN 01avril au 01 déc
ZY-68,1607,STAT. INT. 9h - 10h VEN 01avril au 01 déc
ZY-69,266,STAT. INT. 13h - 14h VEN 01avril au 01 déc
ZY-70,267,STAT. INT. 12h30 - 13h30  MER 01 avril au 01 déc
ZY-71,268,STAT. INT. 13h30 - 14h30  VEN 01 avril au 01 déc
ZY-72,269,STAT. INT. 14h - 15h VEN 01 avril au 01 déc
ZY-73,270,STAT. INT. 10h - 11h JEU 01 avril au 01 déc
ZY-75,275,STAT. INT. 10h30 - 11h30 MAR 01avril au 01 déc
ZY-76,134,STAT. INT. 7 h 30 - 9 h MER 01 avril au 01 déc
ZY-77,278,STAT. INT. 10h30 - 11h30 JEU 01avril au 01 déc
ZY-78,1638,STAT. INT. 9h - 10h JEU 01 avril au 01 déc
ZY-81,282,STAT. INT. 18h30 - 19h30 LUN 01 avril au 01 déc
ZY-82,281,STAT. INT. 19h - 20h MAR 01 avril au 01 déc
ZY-84,291,STAT. INT. 7 h - 9 h 30 MAR 01avril au 01 déc
ZY-85,292,STAT. INT. 7 h - 9 h 30 JEU 01avril au 01 déc
ZY-86,293,STAt. INT. 14 h - 15 h MER 01 avril au 01 déc
ZY-87,1608,STAt. INT. 8 h - 12 h JEU 01 avril au 01 déc
ZY-88,301,STAT. INT. 10h - 11h MAR 01 avril au 01 déc
ZY-89,1609,STAT. INT. 7 h 30 - 8 h 30 VEN 01 avril au 01 déc
ZY-90,303,STAT. INT. 7 h - 8 h MER et VEN 01 avril au 01 déc
ZY-91,1610,STAT. INT. 9 h 30 - 10 h30 LUN 01 avril au 01 déc
ZY-93,1611,STAT. INT. 8 h - 9 h DIM 01 avril au 01 déc
ZY-94,1612,STAT. INT. 8 h - 9 h SAM 01 avril au 01 déc
ZY-95,160,ARRÊt INT. 7 h - 8 h MER 01 avril au 30 nov
ZY-96,318,STAT. INT. 16 h 30 - 17 h 30 LUN au VEN 01 avril au 01 déc
ZY-97,331,STAT. INT. 9 h 30 - 10 h30 LUN À VEN 01 avril au 01 déc
ZY-98,330,STAT. INT. 12 h - 13 h LUN À VEN 01 avril au 01 déc
ZY-99,1524,STAT. INT. 9 h - 11 h MAR et JEU 01 avril au 01 déc
ZY-99,1526,STAT. INT. 9 h - 11 h MAR et JEU 01 avril au 01 déc
ZZ-01,76,STAT. INT.7 h - 8 h LUN À VEN 01 avril au 01 déc.
ZZ-02,1473,STAT. INT.8 h - 9 h LUN À VEN 01 avril au 01 déc.
ZZ-03,76,STAT. INT.7 h  - 8 h   LUN À VEN 01 avril au 01 déc.
ZZ-06,1615,ARRET INT. 7 h 30 - 9 h 30 LUN À VEN
ZZ-12,87,STAT. INT. 7 h - 8 h LUN et JEU 1 avril au 1 décembre
ZZ-16,1584,STAT. INT. 8 h - 9 h MAR ET VEN 01 mars au 1 décembre
ZZ-16,1613,STAT. INT. 8 h - 9 h MAR ET VEN 01 mars au 1 décembre
ZZ-23,100,STAT. INT. 7 h - 9 h LUN À VEN 01 avril au 01 décembre
ZZ-24,101,STAT. INT. 7 h - 9 h - 1er mai au 31 oct.
ZZ-27,103,STAT. INT. 22h30 - 23 h 30 LUN À VEN 01 mars au 01 déc.
ZZ-51,76,STAT. INT.7 h - 8 h LUN À VEN 01 avril au 01 déc
ZZ-52,75,STAT. INT.6 h 30 - 7 h 30 LUN À VEN 01 avril au 01 dec
ZZ-53,1473,STAT. INT. 8 h - 9 h LUN À VEN 01 avril au 01 déc
ZZ-54,1545,STAT. INT. 8 h - 9 h LUN et JEU 01 avril au 01 déc
ZZ-54,1551,STAT. INT. 8 h - 9 h LUN et JEU 01 avril au 01 déc
ZZ-55,1584,STAT. INT. 8 h - 9 h MAR et VEN 01 avril au 01 déc
ZZ-55,1613,STAT. INT. 8 h - 9 h MAR et VEN 01 avril au 01 déc
ZZ-56,1474,STAT. INT. 8 h - 9 h30 LUN À VEN 01 avril au 01 déc
ZZ-57,139,STAT. INT. 7 h - 8 h LUN et MER 01 avril au 01 déc
ZZ-60,88,STAT. INT. 7 h - 8 h MAR et VEN 01 avril au 01 déc
ZZ-65,160,STAT. INT. 7 h - 8 h MER 01 avril au 01 déc
ZZ-66,132,STAT. INT. 7 h - 8 h LUN 01 avril au 01 déc
ZZ-67,1545,STAT. INT. 8 h - 9 h LUN 01 avril au 01 déc
ZZ-68,1555,STAT. INT. 8 h - 9 h MER 01 avril au 01 déc
ZZ-69,1597,STAT. INT.7 h 30 - 8 h 30 LUN ET JEU 01 avril au 01 déc
ZZ-71,87,STAT. INT. 7 h - 8 h LUN ET JEU 01 avril au 01 déc
ZZ-72,1613,STAT. INT. 8 h - 9 h VEN 01 avril au 01 déc
ZZ-73,1584,STAT. INT.8 h - 9 h MAR 01 avril au 01 déc
ZZ-74,1550,STAT. INT. 7 h 30 - 9 h JEU 01 avril au 01 déc
ZZ-75,133,STAT. INT. 7 h - 8 h JEU 01 avril au 01 déc
ZZ-76,164,STAT. INT. 7 h - 8 h MAR 01 avril au 01 déc
ZZ-83,1651,STAT. INT. 8 h - 10 h LUN 1 avr au 1 dec
ZZ-89,173,STAT. INT. 7 h - 8 h MAR ET JEU 01 avril au 01 déc
ZZ-91,105,STAT. INT. 7 h - 9 h MAR 01 avril au 01 déc
ZZ-93,1545,STAT. INT. 8 h - 9 h LUN ET MER 01 avril au 01 déc
ZZ-93,1555,STAT. INT. 8 h - 9 h LUN ET MER 01 avril au 01 déc
ZZ-94,1614,STAT. INT.8 h 30 - 9 h 30 LUN ET JEU 01 avril au 01 déc
ZZ-96,1545,STAT. INT. 8 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-96,1555,STAT. INT. 8 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-97,169,STAT. INT. 7 h ou 8 h - 9 h MAR et JEU 01 avril au 01 déc
ZZ-98,168,STAT. INT. 7 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-99,169,STAT. INT. 7 h - 9 h MAR et JEU 01 avril au 01 déc
